sample_name,fq1,fq2,date,is_amplicon_data,organism
1_11_S1,data/1_11_S1_R1_001.fastq.gz,data/1_11_S1_R2_001.fastq.gz,2022-06-01,1,MYC
1_12_S2,data/1_12_S2_R1_001.fastq.gz,data/1_12_S2_R2_001.fastq.gz,2022-06-01,1,MYC
1_13_S3,data/1_13_S3_R1_001.fastq.gz,data/1_13_S3_R2_001.fastq.gz,2022-06-01,1,MYC
1_21_S4,data/1_21_S4_R1_001.fastq.gz,data/1_21_S4_R2_001.fastq.gz,2022-06-01,1,MYC
1_22_S5,data/1_22_S5_R1_001.fastq.gz,data/1_22_S5_R2_001.fastq.gz,2022-06-01,1,MYC
1_23_S6,data/1_23_S6_R1_001.fastq.gz,data/1_23_S6_R2_001.fastq.gz,2022-06-01,1,MYC
1_31_S7,data/1_31_S7_R1_001.fastq.gz,data/1_31_S7_R2_001.fastq.gz,2022-06-01,1,MYC
1_32_S8,data/1_32_S8_R1_001.fastq.gz,data/1_32_S8_R2_001.fastq.gz,2022-06-01,1,MYC
1_33_S9,data/1_33_S9_R1_001.fastq.gz,data/1_33_S9_R2_001.fastq.gz,2022-06-01,1,MYC
2_1_S14,data/2_1_S14_R1_001.fastq.gz,data/2_1_S14_R2_001.fastq.gz,2022-06-01,1,MYC
2_2_S15,data/2_2_S15_R1_001.fastq.gz,data/2_2_S15_R2_001.fastq.gz,2022-06-01,1,MYC
2_3_S16,data/2_3_S16_R1_001.fastq.gz,data/2_3_S16_R2_001.fastq.gz,2022-06-01,1,MYC
3_1_S20,data/3_1_S20_R1_001.fastq.gz,data/3_1_S20_R2_001.fastq.gz,2022-06-01,1,MYC
3_2_S21,data/3_2_S21_R1_001.fastq.gz,data/3_2_S21_R2_001.fastq.gz,2022-06-01,1,MYC
3_3_S22,data/3_3_S22_R1_001.fastq.gz,data/3_3_S22_R2_001.fastq.gz,2022-06-01,1,MYC
IC1_S11,data/IC1_S11_R1_001.fastq.gz,data/IC1_S11_R2_001.fastq.gz,2022-06-01,1,MYC
IC2_S17,data/IC2_S17_R1_001.fastq.gz,data/IC2_S17_R2_001.fastq.gz,2022-06-01,1,MYC
IC3_S23,data/IC3_S23_R1_001.fastq.gz,data/IC3_S23_R2_001.fastq.gz,2022-06-01,1,MYC
NegK1_S10,data/NegK1_S10_R1_001.fastq.gz,data/NegK1_S10_R2_001.fastq.gz,2022-06-01,1,MYC
NegK2_S18,data/NegK2_S18_R1_001.fastq.gz,data/NegK2_S18_R2_001.fastq.gz,2022-06-01,1,MYC
NegK3_S24,data/NegK3_S24_R1_001.fastq.gz,data/NegK3_S24_R2_001.fastq.gz,2022-06-01,1,MYC
PosK1_S13,data/PosK1_S13_R1_001.fastq.gz,data/PosK1_S13_R2_001.fastq.gz,2022-06-01,1,MYC
PosK2_S19,data/PosK2_S19_R1_001.fastq.gz,data/PosK2_S19_R2_001.fastq.gz,2022-06-01,1,MYC
PosK3_S25,data/PosK3_S25_R1_001.fastq.gz,data/PosK3_S25_R2_001.fastq.gz,2022-06-01,1,MYC
WaterBlue_S12,data/WaterBlue_S12_R1_001.fastq.gz,data/WaterBlue_S12_R2_001.fastq.gz,2022-06-01,1,MYC
